CustomerID,OrderDate,PreferedOrderCat,Quantity,UnitPrice,Revenue,Churn,CashbackAmount,CurrentStockLevel,StockoutRisk,SafetyStock,ReorderPoint,LeadTimeDays
51767,2019-12-07 00:00:00,Laptop & Accessory,1,53542.93,53542.93,0,2665.47,1300,0,1433,1147,12
55335,2019-12-07 00:00:00,Laptop & Accessory,1,41764.36,41764.36,0,2040.86,1726,0,1553,1242,13
54496,2019-12-07 00:00:00,Grocery,3,181.43,544.29,0,40.19,806,1,1672,1338,4
54180,2019-12-07 00:00:00,Mobile,1,43677.54,43677.54,0,711.41,374,0,456,365,13
51795,2019-12-07 00:00:00,Laptop & Accessory,1,63688.03,63688.03,0,2262.91,1192,1,1911,1529,16
52617,2019-12-07 00:00:00,Mobile Phone,1,26271.79,26271.79,0,579.6,729,1,1205,964,12
53203,2019-12-07 00:00:00,Others,1,1045.04,1045.04,0,52.06,477,1,712,569,9
54997,2019-12-07 00:00:00,Laptop & Accessory,1,77032.02,77032.02,0,4016.73,1963,0,1433,1147,12
52315,2019-12-07 00:00:00,Fashion,4,1271.31,5085.24,0,60.54,944,1,1527,1221,9
51378,2019-12-08 00:00:00,Others,3,589.12,1767.36,0,86.36,337,0,316,253,4
54868,2019-12-08 00:00:00,Mobile Phone,1,8942.22,8942.22,0,1282.17,893,0,1105,884,11
51487,2019-12-08 00:00:00,Mobile Phone,1,47798.26,47798.26,0,1665.98,891,0,1004,803,10
52212,2019-12-08 00:00:00,Fashion,2,3619.64,7239.28,0,56.22,1052,0,509,407,3
52904,2019-12-08 00:00:00,Laptop & Accessory,1,48319.36,48319.36,0,1990.87,1631,0,955,764,8
54074,2019-12-08 00:00:00,Laptop & Accessory,1,31670.51,31670.51,0,3647.54,1240,1,1791,1433,15
52205,2019-12-08 00:00:00,Mobile Phone,1,28413.74,28413.74,1,764.45,1067,0,803,643,8
51212,2019-12-09 00:00:00,Laptop & Accessory,1,38326.04,38326.04,0,1791.64,1844,0,1553,1242,13
54124,2019-12-09 00:00:00,Grocery,2,1958.95,3917.9,0,41.5,811,0,418,334,1
55473,2019-12-09 00:00:00,Grocery,3,1419.01,4257.03,0,23.36,1157,1,1672,1338,4
55177,2019-12-09 00:00:00,Others,3,2083.51,6250.53,0,95.63,462,0,237,190,3
52164,2019-12-09 00:00:00,Mobile Phone,1,37465.48,37465.48,0,2363,1010,1,1306,1044,13
54719,2019-12-09 00:00:00,Mobile,1,26236.12,26236.12,0,743.07,296,0,316,253,9
52240,2019-12-10 00:00:00,Mobile Phone,1,24806.14,24806.14,0,2720.86,1011,0,703,562,7
50386,2019-12-10 00:00:00,Mobile Phone,1,14671.45,14671.45,0,1853.93,902,0,703,562,7
54804,2019-12-10 00:00:00,Laptop & Accessory,1,70062.93,70062.93,0,2848.42,1768,0,836,669,7
54366,2019-12-10 00:00:00,Laptop & Accessory,1,84533.76,84533.76,0,2790.12,1221,0,1075,860,9
50525,2019-12-10 00:00:00,Mobile Phone,1,12000.2,12000.2,0,707.92,893,0,904,723,9
54329,2019-12-10 00:00:00,Mobile Phone,1,20557.42,20557.42,0,1894.66,835,0,1004,803,10
53968,2019-12-10 00:00:00,Fashion,3,3269.93,9809.79,0,87.66,802,1,1188,950,7
50377,2019-12-11 00:00:00,Mobile Phone,1,41218.41,41218.41,0,1389.69,1043,0,1105,884,11
55179,2019-12-11 00:00:00,Grocery,8,275.04,2200.32,0,40.27,973,0,418,334,1
51728,2019-12-11 00:00:00,Grocery,10,872.44,8724.4,1,20.11,868,0,418,334,1
53101,2019-12-11 00:00:00,Laptop & Accessory,1,69788.75,69788.75,0,3234.29,1822,0,955,764,8
54142,2019-12-12 00:00:00,Mobile Phone,1,51234.26,51234.26,0,2367.73,955,0,502,402,5
54757,2019-12-12 00:00:00,Grocery,13,839.75,10916.75,0,11.89,1089,0,836,669,2
51415,2019-12-12 00:00:00,Mobile Phone,1,16395.21,16395.21,0,992.7,920,0,904,723,9
50538,2019-12-12 00:00:00,Mobile Phone,1,47495.16,47495.16,0,1407.1,1154,0,1004,803,10
54887,2019-12-12 00:00:00,Laptop & Accessory,1,35472.87,35472.87,0,3408.89,1366,0,836,669,7
50048,2019-12-12 00:00:00,Laptop & Accessory,1,31560.34,31560.34,0,1414.24,1794,0,1911,1529,16
53825,2019-12-12 00:00:00,Mobile Phone,1,37717.64,37717.64,0,1228.53,775,0,803,643,8
53414,2019-12-12 00:00:00,Mobile Phone,1,20422.8,20422.8,0,2170.98,1070,0,1105,884,11
53897,2019-12-12 00:00:00,Fashion,3,2662.3,7986.9,0,245.93,1028,1,1527,1221,9
52057,2019-12-12 00:00:00,Laptop & Accessory,1,53734.73,53734.73,0,3072.43,1166,1,2269,1815,19
50056,2019-12-13 00:00:00,Others,1,624.72,624.72,0,70.68,432,1,633,506,8
53360,2019-12-13 00:00:00,Others,3,1172.55,3517.65,0,82.08,389,1,553,443,7
54188,2019-12-13 00:00:00,Mobile Phone,1,10586.08,10586.08,0,1050.21,1095,0,703,562,7
51567,2019-12-13 00:00:00,Others,2,3619.95,7239.9,0,24.32,476,0,553,443,7
54483,2019-12-13 00:00:00,Mobile,1,24698.59,24698.59,0,2049.62,329,0,175,140,5
51004,2019-12-14 00:00:00,Fashion,2,1731.06,3462.12,0,221.53,852,0,1018,814,6
51609,2019-12-14 00:00:00,Mobile Phone,1,53324.49,53324.49,0,2592.14,1079,0,904,723,9
52117,2019-12-14 00:00:00,Fashion,2,2631.78,5263.56,0,145.14,1229,0,1357,1086,8
50079,2019-12-14 00:00:00,Fashion,1,1881.31,1881.31,1,430.62,808,0,509,407,3
55265,2019-12-14 00:00:00,Mobile,1,42048.78,42048.78,0,700.02,253,0,316,253,9
50132,2019-12-14 00:00:00,Others,2,1853.95,3707.9,1,71.49,445,0,237,190,3
52834,2019-12-15 00:00:00,Laptop & Accessory,1,30171.09,30171.09,0,2538.49,1562,1,2269,1815,19
54111,2019-12-15 00:00:00,Laptop & Accessory,1,77603.75,77603.75,1,1102.81,1731,0,1672,1338,14
50650,2019-12-15 00:00:00,Mobile,1,17021.48,17021.48,0,2294.3,374,0,175,140,5
55026,2019-12-16 00:00:00,Laptop & Accessory,1,46360.11,46360.11,0,4104.47,1239,1,2150,1720,18
51744,2019-12-16 00:00:00,Others,2,1082.82,2165.64,0,92.49,501,1,633,506,8
52003,2019-12-16 00:00:00,Mobile,1,37690.98,37690.98,0,1068.71,301,1,386,309,11
54195,2019-12-16 00:00:00,Fashion,2,3958.43,7916.86,0,336.9,1196,0,1018,814,6
52456,2019-12-16 00:00:00,Grocery,2,234.33,468.66,0,20.68,1250,0,836,669,2
51975,2019-12-16 00:00:00,Fashion,2,1851.03,3702.06,0,156.23,1054,0,1188,950,7
55630,2019-12-16 00:00:00,Laptop & Accessory,1,73576.12,73576.12,1,2170.1,1759,0,1433,1147,12
52242,2019-12-17 00:00:00,Fashion,2,2775.43,5550.86,0,463.08,1258,0,848,679,5
54127,2019-12-17 00:00:00,Grocery,10,1916.56,19165.6,0,30.84,1129,0,418,334,1
53695,2019-12-17 00:00:00,Others,3,935.57,2806.71,0,98.83,513,0,474,380,6
50379,2019-12-18 00:00:00,Mobile Phone,1,8523.23,8523.23,0,2047.31,676,1,904,723,9
52147,2019-12-18 00:00:00,Mobile Phone,1,34059.56,34059.56,0,1223.35,988,0,502,402,5
52167,2019-12-18 00:00:00,Mobile,1,18384.02,18384.02,0,2426.02,334,0,386,309,11
51610,2019-12-18 00:00:00,Mobile Phone,1,31175.03,31175.03,0,853.19,888,0,904,723,9
52044,2019-12-18 00:00:00,Fashion,4,3973.91,15895.64,1,431.8,934,0,679,543,4
51862,2019-12-18 00:00:00,Mobile Phone,1,24719.04,24719.04,0,2745.07,1108,0,1205,964,12
53583,2019-12-18 00:00:00,Laptop & Accessory,1,59063.73,59063.73,0,2058.31,1223,1,1791,1433,15
51999,2019-12-18 00:00:00,Grocery,11,372.69,4099.59,0,5.06,1278,0,836,669,2
50599,2019-12-18 00:00:00,Grocery,11,1747.28,19220.08,1,49.28,1066,0,418,334,1
55423,2019-12-18 00:00:00,Mobile Phone,1,25394.97,25394.97,0,1290.55,694,1,1105,884,11
55519,2019-12-18 00:00:00,Others,1,935.46,935.46,0,65.87,359,0,237,190,3
51330,2019-12-18 00:00:00,Mobile Phone,1,9975.76,9975.76,0,811.22,1062,0,703,562,7
52578,2019-12-18 00:00:00,Grocery,14,584.45,8182.3,0,16.46,762,0,836,669,2
50499,2019-12-18 00:00:00,Mobile,2,9513.11,19026.22,0,2323.24,253,0,175,140,5
53586,2019-12-18 00:00:00,Laptop & Accessory,1,30199.82,30199.82,0,2090.85,1967,0,1433,1147,12
54588,2019-12-19 00:00:00,Mobile,1,7357.07,7357.07,0,554.17,345,0,281,224,8
51500,2019-12-19 00:00:00,Laptop & Accessory,1,84651.52,84651.52,1,2265.69,1405,0,1314,1051,11
54286,2019-12-19 00:00:00,Laptop & Accessory,1,58008.28,58008.28,0,3370.09,1577,0,955,764,8
51520,2019-12-19 00:00:00,Mobile Phone,1,43928.97,43928.97,0,2418.31,883,0,603,482,6
50811,2019-12-19 00:00:00,Others,2,962.23,1924.46,0,18.35,339,1,712,569,9
50912,2019-12-21 00:00:00,Laptop & Accessory,1,36998.68,36998.68,0,2239.8,1885,0,1433,1147,12
51092,2019-12-21 00:00:00,Mobile Phone,1,19432.09,19432.09,1,1387.63,1102,0,1205,964,12
53251,2019-12-21 00:00:00,Fashion,4,2828.03,11312.12,0,212.46,1232,0,679,543,4
50093,2019-12-21 00:00:00,Mobile Phone,1,31184.66,31184.66,0,1680.47,979,0,603,482,6
55498,2019-12-21 00:00:00,Laptop & Accessory,1,31608.88,31608.88,1,4232.23,1290,1,1672,1338,14
50286,2019-12-22 00:00:00,Fashion,3,2023.48,6070.44,0,499.35,1183,0,1018,814,6
52733,2019-12-22 00:00:00,Laptop & Accessory,1,77465.81,77465.81,0,2113.21,1758,0,1672,1338,14
54070,2019-12-22 00:00:00,Mobile,2,40954.45,81908.9,1,355.52,242,0,210,168,6
55583,2019-12-22 00:00:00,Others,1,2544.2,2544.2,0,76.91,506,1,712,569,9
53569,2019-12-22 00:00:00,Laptop & Accessory,1,53878.45,53878.45,1,907.62,1203,1,1553,1242,13
50728,2019-12-23 00:00:00,Mobile Phone,1,21013.78,21013.78,0,435.35,1042,0,1205,964,12
53277,2019-12-23 00:00:00,Laptop & Accessory,1,49858.92,49858.92,0,2779.23,1764,0,1553,1242,13
55130,2019-12-23 00:00:00,Grocery,12,1543.56,18522.72,1,27.17,1139,0,418,334,1
54559,2019-12-23 00:00:00,Fashion,2,4225.31,8450.62,0,79.88,1000,0,1018,814,6
50193,2019-12-23 00:00:00,Mobile Phone,1,9221.82,9221.82,0,402.1,1106,0,1205,964,12
50204,2019-12-23 00:00:00,Laptop & Accessory,1,65857.63,65857.63,0,1408.7,1681,1,2150,1720,18
54637,2019-12-24 00:00:00,Grocery,5,695.63,3478.15,0,19.15,965,1,1254,1003,3
50361,2019-12-24 00:00:00,Fashion,1,3752.53,3752.53,0,310.76,1011,0,509,407,3
51807,2019-12-24 00:00:00,Laptop & Accessory,1,61968.93,61968.93,0,2413.85,2003,0,955,764,8
55096,2019-12-24 00:00:00,Mobile Phone,1,31221.38,31221.38,1,547.18,977,1,1306,1044,13
51388,2019-12-24 00:00:00,Laptop & Accessory,1,33711.83,33711.83,1,3414.99,1183,0,1194,955,10
54189,2019-12-24 00:00:00,Laptop & Accessory,1,42355.6,42355.6,0,2537.92,1359,0,1433,1147,12
50161,2019-12-24 00:00:00,Fashion,1,4037.17,4037.17,0,432.46,924,1,1357,1086,8
50603,2019-12-25 00:00:00,Laptop & Accessory,1,62484.25,62484.25,1,1380.38,1537,1,2030,1624,17
50587,2019-12-25 00:00:00,Grocery,14,413.46,5788.44,0,7.61,876,1,1254,1003,3
54093,2019-12-25 00:00:00,Mobile Phone,1,38588.96,38588.96,0,2364.46,1084,0,1306,1044,13
51154,2019-12-26 00:00:00,Grocery,3,1037.06,3111.18,0,49.25,933,0,836,669,2
52762,2019-12-27 00:00:00,Grocery,12,680.68,8168.16,0,31.59,849,0,836,669,2
53670,2019-12-27 00:00:00,Mobile,1,22853.78,22853.78,0,988.61,373,0,386,309,11
52538,2019-12-27 00:00:00,Mobile,2,21724.52,43449.04,0,1775.69,339,0,281,224,8
51490,2019-12-27 00:00:00,Fashion,2,4638.63,9277.26,0,96.08,841,0,848,679,5
53050,2019-12-27 00:00:00,Mobile Phone,1,31059.82,31059.82,0,1554.61,836,0,703,562,7
52898,2019-12-27 00:00:00,Mobile Phone,1,30245.02,30245.02,0,1307.88,1128,0,803,643,8
54295,2019-12-27 00:00:00,Mobile Phone,1,24897.06,24897.06,0,2510.21,685,1,1205,964,12
54535,2019-12-27 00:00:00,Mobile,2,30525.4,61050.8,0,994.87,237,0,175,140,5
50440,2019-12-27 00:00:00,Laptop & Accessory,1,57895.18,57895.18,0,1817.89,1428,0,1433,1147,12
51509,2019-12-27 00:00:00,Laptop & Accessory,1,49906.14,49906.14,0,3641.33,1206,0,836,669,7
54140,2019-12-28 00:00:00,Mobile,2,26702.24,53404.48,1,1204.97,315,1,421,337,12
53070,2019-12-28 00:00:00,Grocery,7,1888.9,13222.3,0,18.72,1000,0,836,669,2
52078,2019-12-28 00:00:00,Mobile Phone,1,51377.93,51377.93,0,2681.38,824,0,603,482,6
52417,2019-12-28 00:00:00,Fashion,3,4589.63,13768.89,0,226.38,784,1,1018,814,6
52964,2019-12-28 00:00:00,Laptop & Accessory,1,38572.52,38572.52,0,595.46,1271,0,955,764,8
54489,2020-01-06 00:00:00,Laptop & Accessory,1,45450.97,45450.97,0,2418.17,1218,1,1672,1338,14
54987,2020-01-06 00:00:00,Others,2,3039.19,6078.38,0,65.57,579,0,712,569,9
50951,2020-01-06 00:00:00,Mobile Phone,1,38847.83,38847.83,0,924.9,830,0,502,402,5
54944,2020-01-06 00:00:00,Mobile Phone,1,27568.18,27568.18,0,369.06,1006,0,1205,964,12
54394,2020-01-06 00:00:00,Fashion,1,3813.69,3813.69,0,65.32,1254,0,1527,1221,9
51537,2020-01-07 00:00:00,Laptop & Accessory,1,61435.21,61435.21,0,1787.62,1996,0,1433,1147,12
51623,2020-01-07 00:00:00,Grocery,3,649.22,1947.66,0,31.32,798,0,418,334,1
51749,2020-01-07 00:00:00,Fashion,1,2029.41,2029.41,0,465.56,870,0,509,407,3
52943,2020-01-07 00:00:00,Mobile Phone,1,21046.54,21046.54,0,2462.98,1045,0,1205,964,12
51527,2020-01-07 00:00:00,Mobile Phone,1,26636.05,26636.05,0,2485.51,1056,0,1105,884,11
55605,2020-01-07 00:00:00,Fashion,2,1289.54,2579.08,0,282.21,1131,0,1357,1086,8
51213,2020-01-07 00:00:00,Others,1,3437.74,3437.74,1,63.22,493,1,633,506,8
51973,2020-01-07 00:00:00,Laptop & Accessory,1,46800.69,46800.69,0,3502.44,1279,0,1075,860,9
53918,2020-01-07 00:00:00,Others,3,1639.9,4919.7,0,21.88,445,1,633,506,8
55349,2020-01-08 00:00:00,Others,1,3414.74,3414.74,0,47.28,595,0,633,506,8
50310,2020-01-08 00:00:00,Mobile,1,37693.31,37693.31,0,1948.43,356,0,175,140,5
55568,2020-01-08 00:00:00,Laptop & Accessory,1,54829.71,54829.71,0,2445.01,1982,0,1791,1433,15
52913,2020-01-09 00:00:00,Grocery,4,1068.63,4274.52,0,49.34,840,0,836,669,2
52403,2020-01-09 00:00:00,Laptop & Accessory,1,60643.82,60643.82,0,2390.5,1362,1,2150,1720,18
51453,2020-01-09 00:00:00,Mobile Phone,1,46632.93,46632.93,0,2532.01,844,0,703,562,7
55515,2020-01-09 00:00:00,Fashion,2,4049.31,8098.62,1,395.85,1066,0,1018,814,6
53273,2020-01-09 00:00:00,Laptop & Accessory,1,62359.13,62359.13,0,2712.48,1896,0,1314,1051,11
55067,2020-01-09 00:00:00,Mobile Phone,1,39485.6,39485.6,0,2480.26,701,0,703,562,7
51409,2020-01-09 00:00:00,Mobile Phone,1,47833.99,47833.99,0,890.36,666,1,1105,884,11
53015,2020-01-09 00:00:00,Fashion,4,3343.6,13374.4,0,151.56,744,0,848,679,5
51974,2020-01-09 00:00:00,Laptop & Accessory,1,52847.89,52847.89,0,2384.77,1553,0,1791,1433,15
51090,2020-01-10 00:00:00,Mobile Phone,1,10400.72,10400.72,1,559.17,1025,0,1004,803,10
54461,2020-01-10 00:00:00,Mobile Phone,1,13918.51,13918.51,0,846.76,751,1,1306,1044,13
51279,2020-01-10 00:00:00,Grocery,2,1655.86,3311.72,0,43.32,817,1,1672,1338,4
54706,2020-01-10 00:00:00,Fashion,1,1416.84,1416.84,0,295.05,797,1,1527,1221,9
51222,2020-01-10 00:00:00,Grocery,11,1752.52,19277.72,0,44.37,988,0,418,334,1
52856,2020-01-10 00:00:00,Fashion,4,1122.77,4491.08,0,179.7,1116,0,848,679,5
50378,2020-01-10 00:00:00,Grocery,7,890.59,6234.13,0,30.38,923,1,1254,1003,3
52421,2020-01-11 00:00:00,Laptop & Accessory,1,74918.59,74918.59,0,2360.11,1229,0,1194,955,10
51185,2020-01-11 00:00:00,Fashion,1,4000.01,4000.01,0,320.44,1059,1,1357,1086,8
52329,2020-01-11 00:00:00,Fashion,1,4511.54,4511.54,0,420.37,764,0,679,543,4
52794,2020-01-11 00:00:00,Laptop & Accessory,1,36245.76,36245.76,0,763.18,1328,0,1553,1242,13
53905,2020-01-12 00:00:00,Fashion,2,2538.16,5076.32,0,254.73,855,0,679,543,4
