OrderDate,Revenue
2019-12-07,312651.24
2019-12-08,174150.73
2019-12-09,116453.1
2019-12-10,236441.68999999997
2019-12-11,121931.88
2019-12-12,312936.66000000003
2019-12-13,46666.94
2019-12-14,109688.16
2019-12-15,124796.31999999999
2019-12-16,171880.43
2019-12-17,27523.17
2019-12-18,308854.45
2019-12-19,195870.30000000002
2019-12-21,130536.43000000001
2019-12-22,221867.8
2019-12-23,172925.49
2019-12-24,180525.59
2019-12-25,106861.65
2019-12-26,3111.18
2019-12-27,338802.26
2019-12-28,170346.12
2020-01-06,121759.05
2020-01-07,170832.08000000002
2020-01-08,95937.76
2020-01-09,335550.9
2020-01-10,59050.72
2020-01-11,119675.9
2020-01-12,117971.59999999999
2020-01-13,50087.16
2020-01-14,248190.11000000002
2020-01-15,52667.270000000004
2020-01-16,167483.3
2020-01-17,407802.2
2020-01-18,76104.85
2020-01-19,182675.02
2020-01-20,113300.33
2020-01-21,229860.77
2020-01-22,53369.32
2020-01-23,276470.0
2020-01-24,100546.45
2020-01-25,317984.9
2020-01-26,129440.29999999999
2020-01-27,53256.93000000001
2020-04-07,46849.6
2020-04-08,28413.74
2020-04-09,42583.07
2020-04-12,31560.34
2020-04-13,24698.59
2020-04-16,9684.22
2020-04-17,37465.48
2020-04-19,2200.32
2020-04-20,47495.16
2020-04-23,49858.92
2020-04-26,121140.66
2020-04-27,70328.06
2020-05-02,53324.49
2020-05-05,109424.53
2020-05-06,13768.89
2020-05-07,43032.509999999995
2020-05-12,16395.21
2020-05-13,105302.24
2020-05-16,70176.98000000001
2020-05-17,19277.72
2020-05-19,23492.74
2020-05-20,1583.59
2020-05-21,33039.84
2020-05-22,26817.659999999996
2020-05-24,247079.51
2020-05-25,3868.23
2020-05-26,100371.95
2020-05-27,44073.76
2020-05-28,50546.189999999995
2020-05-29,5076.32
2020-05-30,3702.06
2020-05-31,60029.62
2020-06-01,14343.599999999999
2020-06-05,115313.66
2020-06-07,1045.04
2020-06-08,26946.23
2020-06-09,3111.18
2020-06-10,101216.69
2020-06-11,41218.41
2020-06-12,20422.8
2020-06-14,47187.60999999999
2020-06-17,3242.08
2020-06-18,108076.5
2020-06-19,151495.98
2020-06-20,62359.13
2020-06-21,93052.16
2020-06-23,11419.19
2020-06-24,34147.27
2020-06-25,66438.47
2020-06-26,13220.03
2020-06-27,78117.49
2020-06-28,127157.61
2020-06-30,36806.34
2020-07-03,45793.96
2020-07-04,42555.73
2020-07-05,77603.75
2020-07-07,32345.309999999998
2020-07-08,38496.84
2020-07-11,34437.880000000005
2020-07-13,18522.72
2020-07-15,62484.25
2020-07-19,41859.46
2020-07-22,63688.03
2020-07-24,26236.12
2020-07-25,1947.66
2020-07-27,10916.75
2020-07-28,10400.72
2020-07-29,74918.59
2020-07-31,119936.23
2020-08-02,58637.240000000005
2020-08-06,5343.56
2020-08-07,56071.42
2020-08-08,32166.27
2020-08-09,42583.07
2020-08-12,82938.27
2020-08-13,24698.59
2020-08-16,7916.86
2020-08-18,3813.69
2020-08-19,4919.7
2020-08-21,60643.82
2020-08-23,49858.92
2020-08-25,1767.36
2020-08-26,43404.73
2020-08-27,189976.54
2020-08-28,2200.32
2020-08-29,173618.52000000002
2020-08-30,3517.65
2020-08-31,46356.87
2020-09-02,53694.99
2020-09-03,24716.46
2020-09-04,105961.2
2020-09-05,58008.28
2020-09-06,79716.27
2020-09-07,31184.66
2020-09-08,2544.2
2020-09-10,167271.17
2020-09-13,99564.74
2020-09-14,106981.06
2020-09-16,2832.54
2020-09-17,1583.59
2020-09-18,3806.16
2020-09-19,17875.44
2020-09-20,53324.49
2020-09-21,94230.64
2020-09-23,27936.850000000002
2020-09-25,22584.66
2020-09-27,29233.68
2020-09-29,136081.81
2020-09-30,63979.56
2020-10-01,31275.239999999998
2020-10-02,227892.77
2020-10-03,290073.52
2020-10-04,330135.54
2020-10-05,179145.01
2020-10-06,238608.56
2020-10-07,369329.39
2020-10-08,319779.18
2020-10-09,127506.56
2020-10-10,430328.34
2020-10-11,393929.17
2020-10-12,191256.53
2020-10-13,333241.33
2020-10-14,146941.39
2020-10-15,165703.97
2020-10-16,56847.850000000006
2020-10-17,147411.63
2020-10-18,318917.5
2020-10-19,170413.1
2020-10-20,187808.55
2020-10-21,124634.07
2020-10-22,176889.31
2020-10-23,56874.36
2020-10-24,64933.21000000001
2020-10-26,70971.67
2020-10-27,66302.82
2020-10-28,38572.52
2020-11-01,81263.18
2020-11-02,208472.64
2020-11-03,219213.0
2020-11-04,176779.46
2020-11-05,277697.33
2020-11-06,162217.91999999998
2020-11-07,137427.02
2020-11-08,126119.88
2020-11-09,145983.47
2020-11-10,161577.8
2020-11-11,205752.88
2020-11-12,392455.22000000003
2020-11-13,40422.42
2020-11-14,215310.58000000002
2020-11-15,302397.83999999997
2020-11-16,152530.72999999998
2020-11-17,115708.33
2020-11-18,266236.89
2020-11-19,337602.82
2020-11-20,201825.9
2020-11-21,217278.89
2020-11-22,370483.4
2020-11-23,30245.02
2020-11-29,46800.69
2020-12-01,62359.13
2020-12-04,2968.57
2020-12-06,66438.47
2020-12-07,191689.62
2020-12-08,83451.28
2020-12-09,173658.58
2020-12-11,111007.16
2020-12-12,113704.77
2020-12-13,24698.59
2020-12-14,94987.61
2020-12-16,8385.52
2020-12-18,102629.9
2020-12-19,136877.51
2020-12-21,36998.68
2020-12-22,77465.81
2020-12-23,58309.54
2020-12-27,128402.36
2020-12-31,90377.18
2021-01-02,41108.049999999996
2021-01-03,23240.379999999997
2021-01-04,37465.48
2021-01-05,36245.76
2021-01-06,6570.18
2021-01-07,62500.950000000004
2021-01-08,105302.24
2021-01-10,4364.66
2021-01-11,16772.5
2021-01-13,41150.79
2021-01-14,13561.2
2021-01-15,43443.049999999996
2021-01-16,73755.49
2021-01-17,42531.96
2021-01-19,124983.69
2021-01-20,53266.47
2021-01-21,5569.65
2021-01-22,76344.3
2021-01-23,17476.79
2021-01-24,77603.75
2021-01-27,76572.15
2021-01-28,82003.96
2021-01-29,27211.84
2021-01-30,107031.29
2021-01-31,30112.34
2021-02-01,18522.72
2021-02-02,214913.34
2021-02-03,124301.22
2021-02-04,92912.44
2021-02-05,133108.6
2021-02-06,33821.090000000004
2021-02-07,72912.06999999999
2021-02-08,53324.49
2021-02-09,7581.16
2021-02-10,5026.59
2021-02-11,39536.21
2021-02-12,27882.21
2021-02-13,81219.05
2021-02-14,174157.62
2021-02-16,78657.34
2021-02-17,41565.88
2021-02-18,124922.7
2021-02-19,3407.57
2021-02-20,150447.53
2021-02-21,45272.57
2021-02-22,61298.21000000001
2021-02-23,77696.20999999999
2021-02-24,48525.46
2021-02-25,37109.75
2021-02-26,33030.03
2021-02-27,188042.76
2021-02-28,100120.76999999999
2021-03-01,15768.95
2021-03-02,7710.99
2021-03-03,8626.64
2021-03-04,33941.41
2021-03-05,47994.12
2021-03-06,53288.92
2021-03-07,162113.75
2021-03-08,107839.93
2021-03-09,95915.37
2021-03-10,26236.12
2021-03-13,71914.66
2021-03-14,70971.67
2021-03-15,56307.39
2021-03-16,29554.14
2021-03-17,119936.23
2021-03-19,66819.54000000001
2021-03-22,128838.56
2021-03-24,107781.89
2021-03-25,87158.06
2021-03-27,37896.81
2021-03-28,93409.03
2021-03-29,89950.45
2021-03-30,62221.46
2021-03-31,58182.93
2021-04-01,70315.11
2021-04-02,9671.67
2021-04-03,152299.76
2021-04-04,13918.51
2021-04-05,5315.48
2021-04-06,155863.66999999998
2021-04-08,100227.31
2021-04-09,63528.46000000001
2021-04-10,53014.399999999994
2021-04-11,115236.02
2021-04-12,40777.12
2021-04-13,160737.01
2021-04-14,81115.07
2021-04-15,66844.45999999999
2021-04-16,60748.189999999995
2021-04-17,198621.37
2021-04-19,79716.27
2021-04-20,126477.68
2021-04-21,45004.41
2021-04-22,152936.86
2021-04-24,76990.13
2021-04-25,624.72
2021-04-26,46807.94
2021-04-27,105528.34
2021-04-28,117302.97
2021-04-29,95180.43000000001
2021-04-30,149476.94
2021-05-02,79431.06
2021-05-04,119957.72
2021-05-05,9648.84
2021-05-07,35728.74
2021-05-08,108413.42000000001
2021-05-09,137147.28
2021-05-10,9234.44
2021-05-11,63573.19
2021-05-12,51325.59
2021-05-13,64126.49
2021-05-14,72592.1
2021-05-15,86117.34999999999
2021-05-16,52194.51000000001
2021-05-17,177121.69
2021-05-18,157933.37
2021-05-19,88288.18
2021-05-20,14165.42
2021-05-21,179865.93
2021-05-22,112961.56
2021-05-23,106132.18
2021-05-24,191018.91
2021-05-25,66650.84
2021-05-26,190387.38
2021-05-27,10478.32
2021-05-28,131001.78
2021-05-29,125673.6
2021-05-30,24246.69
2021-05-31,137487.82
2021-06-01,144609.21
2021-06-02,119903.63
2021-06-03,72265.36
2021-06-04,47687.52
2021-06-05,116770.41
2021-06-06,105637.92
2021-06-07,240356.45
2021-06-08,101165.81
2021-06-09,51348.64
2021-06-11,29233.68
2021-06-12,41218.41
2021-06-13,194765.72
2021-06-14,188545.21000000002
2021-06-15,88330.10999999999
2021-06-16,87092.48
2021-06-17,61495.47
2021-06-18,196504.47
2021-06-19,60692.29
2021-06-20,197329.59
2021-06-21,98663.98999999999
2021-06-22,347289.6
2021-06-23,79989.87
2021-06-24,190512.58000000002
2021-06-25,48901.88
2021-06-26,81527.33
2021-06-27,3407.57
2021-06-28,15530.59
2021-06-29,92172.32
2021-06-30,38950.27
2021-07-01,69830.1
2021-07-02,8098.62
2021-07-04,5428.26
2021-07-06,18911.010000000002
2021-07-09,5814.88
2021-07-10,171263.46000000002
2021-07-11,29443.59
2021-07-12,44952.93
2021-07-13,66981.97
2021-07-14,41859.46
2021-07-15,77353.99
2021-07-16,9030.75
2021-07-17,51677.47
2021-07-18,91814.86
2021-07-19,8750.92
2021-07-20,83849.13
2021-07-23,13662.74
2021-07-24,2980.54
2021-07-25,80627.99
2021-07-27,13573.69
2021-07-28,18472.32
2021-07-30,218519.72
2021-08-05,55543.68000000001
2021-08-06,31077.18
2021-08-07,32702.44
2021-08-08,199777.81
2021-08-09,93394.74
2021-08-10,48833.6
2021-08-11,86766.32999999999
2021-08-12,38323.01
2021-08-13,163634.05
2021-08-14,58389.63
2021-08-15,29169.7
2021-08-16,124179.37
2021-08-17,89429.79000000001
2021-08-19,49226.04
2021-08-20,67545.4
2021-08-22,130280.37
2021-08-23,152654.37
2021-08-24,89395.42
2021-08-25,110766.95999999999
2021-08-26,101073.20999999999
2021-08-27,1401.6
2021-08-28,206959.27000000002
2021-08-29,149637.98
2021-08-30,82610.01
2021-08-31,92333.48999999999
2021-09-01,29494.77
2021-09-02,118138.05
2021-09-03,84896.65
2021-09-04,43622.76
2021-09-05,152740.7
2021-09-06,84706.79
2021-09-07,45389.04
2021-09-08,145547.99
2021-09-09,39642.159999999996
2021-09-10,42936.19
2021-09-11,35154.950000000004
2021-09-12,110793.69
2021-09-13,38886.5
2021-09-14,120974.47
2021-09-15,161788.45
2021-09-16,234078.37
2021-09-17,105567.10999999999
2021-09-18,49694.920000000006
2021-09-19,7705.92
2021-09-20,3152.87
2021-09-21,83771.32
2021-09-22,177661.6
2021-09-23,124591.88
2021-09-24,2200.32
2021-09-25,47495.16
2021-09-26,105689.79000000001
2021-09-27,61816.97
2021-09-28,92912.44
2021-09-29,72265.36
2021-09-30,10710.14
2021-10-01,60837.130000000005
2021-10-03,8942.22
2021-10-04,50454.83
2021-10-05,79872.72
2021-10-06,20832.22
2021-10-07,73583.97
2021-10-08,27755.93
2021-10-09,65832.74
2021-10-10,136552.52
2021-10-11,43871.32
2021-10-12,2806.71
2021-10-13,111651.44
2021-10-14,93585.01
2021-10-15,20660.2
2021-10-16,47883.83
2021-10-17,83112.13
2021-10-18,47630.15
2021-10-19,71873.15
2021-10-20,132307.32
2021-10-21,116497.43
2021-10-22,169813.85
2021-10-23,66766.95999999999
2021-10-24,172817.82
